tenure track,minority,female,english,young,small,upper,handsome/beautiful,good,good
tenure track,minority,female,english,young,big,upper,handsome/beautiful,good,bad
tenure track,minority,female,english,young,big,upper,handsome/beautiful,bad,bad
tenure track,minority,female,english,young,big,upper,handsome/beautiful,good,good
tenured,not minority,male,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,male,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,male,english,old,small,upper,not handsome/beautiful,bad,bad
tenured,not minority,male,english,old,big,upper,not handsome/beautiful,good,bad
tenured,not minority,male,english,old,big,upper,not handsome/beautiful,bad,bad
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,bad,bad
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,bad,bad
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,bad,bad
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,good,bad
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,handsome/beautiful,good,bad
tenure track,not minority,female,english,young,small,upper,handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,handsome/beautiful,good,good
tenure track,not minority,female,english,young,big,upper,handsome/beautiful,good,good
tenure track,not minority,female,english,young,big,upper,handsome/beautiful,good,good
tenured,not minority,male,english,old,big,upper,handsome/beautiful,good,good
tenured,not minority,male,english,old,big,upper,handsome/beautiful,good,good
tenured,not minority,male,english,old,big,upper,handsome/beautiful,good,good
tenured,not minority,male,english,old,big,upper,handsome/beautiful,good,good
tenured,not minority,male,english,old,big,upper,handsome/beautiful,good,good
tenured,not minority,male,english,old,big,upper,handsome/beautiful,good,good
tenured,not minority,male,english,old,big,upper,handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,good,bad
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,bad,bad
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,bad,bad
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,female,english,old,small,lower,not handsome/beautiful,bad,bad
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
tenure track,not minority,female,english,young,big,upper,not handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,good,bad
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,good,bad
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,good,good
tenure track,not minority,female,english,young,small,upper,not handsome/beautiful,good,good
teaching,not minority,male,english,old,small,upper,handsome/beautiful,good,bad
teaching,not minority,male,english,old,small,upper,handsome/beautiful,good,bad
teaching,not minority,male,english,old,small,upper,handsome/beautiful,good,good
teaching,not minority,male,english,old,small,upper,handsome/beautiful,good,good
teaching,not minority,male,english,old,small,lower,handsome/beautiful,good,good
teaching,not minority,male,english,old,small,lower,handsome/beautiful,good,good
teaching,not minority,male,english,old,small,upper,handsome/beautiful,good,good
teaching,not minority,male,english,old,small,lower,handsome/beautiful,good,good
teaching,not minority,male,english,old,small,upper,handsome/beautiful,good,good
teaching,not minority,male,english,old,small,lower,handsome/beautiful,good,good
tenure track,minority,male,non-english,young,small,upper,not handsome/beautiful,bad,bad
tenure track,minority,male,non-english,young,small,upper,not handsome/beautiful,bad,bad
tenure track,minority,male,non-english,young,small,upper,not handsome/beautiful,good,good
teaching,not minority,male,english,young,small,upper,not handsome/beautiful,good,good
teaching,not minority,male,english,young,small,upper,not handsome/beautiful,good,good
teaching,not minority,male,english,young,small,upper,not handsome/beautiful,good,good
teaching,not minority,male,english,young,small,upper,not handsome/beautiful,good,good
teaching,not minority,male,english,young,small,upper,not handsome/beautiful,bad,bad
tenured,not minority,male,english,old,small,upper,not handsome/beautiful,good,bad
tenured,not minority,male,english,old,small,upper,not handsome/beautiful,good,bad
tenured,not minority,male,english,old,small,upper,not handsome/beautiful,good,bad
tenured,not minority,male,english,old,big,upper,not handsome/beautiful,good,bad
tenured,not minority,male,english,old,big,upper,not handsome/beautiful,bad,bad
tenured,not minority,male,english,old,big,upper,not handsome/beautiful,good,good
tenured,not minority,male,english,old,small,upper,not handsome/beautiful,bad,bad
tenured,not minority,male,non-english,old,small,upper,not handsome/beautiful,bad,bad
tenured,not minority,male,non-english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,male,non-english,old,small,upper,not handsome/beautiful,bad,bad
tenured,not minority,male,non-english,old,small,upper,not handsome/beautiful,bad,bad
tenure track,not minority,female,english,young,small,upper,handsome/beautiful,bad,bad
tenure track,not minority,female,english,young,big,upper,handsome/beautiful,bad,bad
tenure track,not minority,female,english,young,small,upper,handsome/beautiful,bad,bad
tenure track,not minority,female,english,young,small,upper,handsome/beautiful,bad,bad
tenured,not minority,male,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,male,english,old,big,lower,not handsome/beautiful,good,good
tenured,not minority,male,english,old,big,lower,not handsome/beautiful,good,good
tenured,not minority,male,english,old,small,upper,not handsome/beautiful,good,good
tenured,not minority,male,english,old,small,upper,not handsome/beautiful,good,bad
tenured,not minority,male,english,old,big,lower,not handsome/beautiful,good,good
teaching,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
teaching,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
teaching,not minority,female,english,old,big,upper,not handsome/beautiful,good,good
teaching,not minority,female,english,old,small,upper,not handsome/beautiful,bad,bad
teaching,not minority,female,english,old,small,upper,not handsome/beautiful,good,good
teaching,not minority,male,english,old,big,lower,not handsome/beautiful,good,bad
teaching,not minority,male,english,old,small,upper,not handsome/beautiful,good,bad
teaching,not minority,male,english,old,small,upper,not handsome/beautiful,good,good
teaching,not minority,male,english,old,big,lower,not handsome/beautiful,good,good
teaching,not minority,male,english,old,big,lower,not handsome/beautiful,good,good
teaching,not minority,male,english,old,small,upper,not handsome/beautiful,good,bad
teaching,not minority,male,english,old,big,lower,not handsome/beautiful,good,good
teaching,not minority,male,english,old,big,lower,not handsome/beautiful,good,good
